,question,modified_relation
1736,Which object in this image has numbers on it?,HasA
1596,Which object in this image is a bass string instrument use to play classical music?,IsA
3075,Which object in this image belongs to the class fragaria?,Category
3076,Which object in this image belongs to the category Fruit?,Category
1592,Which object in this image is used to hold beverages?,HasProperty
4050,What object can be used to hold beverages?,HasProperty
3078,Which object in this image contains bromelain?,RelatedTo
3079,Which object in this image is like a small plantain?,Comparative
1598,Which object in the image wants to go through life happy?,Desires
4906,What automobile in the image is larger than a car?,Comparative
2403,Name a place that produces more food than the one shown in the image,Comparative
5641,Which object in this image can be typed on?,IsA
5640,Which object in this image has a control key?,RelatedTo
5643,Which object in this image is a heavy duty vehicle?,RelatedTo
5642,What can be clicked in this image?,UsedFor
5645,What is the place in this image used for?,UsedFor
5644,Which vehicle in this image has wheels and can transport many person at one time?,PartOf
5647,which object in this image is able to use a pencil for drawing,CapableOf
5646,Name the mammal in the image.,Category
2400,What object in this image is alcoholic?,IsA
4826,What is the object that is long and travelling on the road used for?,UsedFor
488,What might one find in this appliance?,AtLocation
485,What object in this image is a kitchen tool?,IsA
483,What thing in the image can jump higher than people?,CapableOf
480,Which musical instrument in this image has 5-7 strings?,HasA
3922,Which object in this image can be used for ball games?,Category
3920,Which object in this image is a brass instrument?,Category
3926,What object in this image is longer than a car?,IsA
3927,Where can you find the large object in the back of this image?,AtLocation
3925,What object in this image is bigger than a car?,Comparative
1611,which object in this image is bigger than car?,Comparative
3929,Which object in this image is used to travel a short distance?,UsedFor
453,When this game is introduced?,Category
87,When the yellow round thing is invented?,Category
3678,What object  shown in this image has wire?,RelatedTo
3679,Which object in this image is related to vehicle?,RelatedTo
3672,what thing has less fat than the object in the middle of this image?,Comparative
3671,what thing is less safe than the object  in the middle in this image?,Comparative
3677,Which object in this image is related to rain ?,RelatedTo
3674,Which object in this image contains meat?,IsA
2542,which object in this image can guard a building?,CapableOf
2541,which object in this image can guard a building?,CapableOf
2547,Which object in this image is capable of speaking a language?,CapableOf
2546,which object in this image can shake hands?,CapableOf
2545,which object in this image can shake hands?,CapableOf
2544,Which object in this image can be found in a forest?,AtLocation
2549,What thing shown is related to a lower jaw?,RelatedTo
3100,Which object in this image is part of a lower jaw?,RelatedTo
2548,Which Keyboard instruments is used in this image?,Category
1451,which object in this image has a nose?,PartOf
5003,What object in this image can be found in an oven?,AtLocation
5157,Which object in the center can be found in in oven?,AtLocation
3581,What's something that can be found at this place?,AtLocation
3582,Which object in this image is used for sliding?,RelatedTo
3584,Which object in this image is for sitting?,IsA
3055,What object in this image is used for sitting on?,IsA
3586,Which object in this image is capable of protecting you from the sun?,CapableOf
5004,What is the cake in image made of?,RelatedTo
5009,Which music instrument in this image makes it look cool?,IsA
5008,Which object in this image is used to play jazz music?,HasProperty
1881,Which object in this image is usually used in jazz music?,HasProperty
900,Which appliance will you use in order to print documents,UsedFor
4429,Which object in this image is a root vegetable?,Category
906,What seafood is shown here?,IsA
907,What color of the blood does the animal in the image has?,HasA
905,What delicacy is seen in this picture?,RelatedTo
4422,What can be found in this image?,AtLocation
4423,What object in this image is an octagon?,IsA
5427,Which object in this image is an octagon?,IsA
909,Which object in this image is closely related to music,RelatedTo
4424,What object might be found at a street corner in this image?,AtLocation
1391,What object in this image can be found at a street corner?,AtLocation
1453,Which object in this image belongs to the category Home video game consoles?,Category
1554,What can be found in this image?,AtLocation
2916,Which object in this image is considered fragile?,HasProperty
1696,what object in this image can be used for transportation at sea?,UsedFor
1697,which object in this image can be used for floating and moving on water?,UsedFor
1694,Which object in this image belongs to the category Water development and sustainability?,Category
1695,what object in this image is used for crossing an ocean?,UsedFor
1692,What can be found in this room?,AtLocation
1691,What can be found in this kitchen?,AtLocation
1471,Which object in this image is related to output?,RelatedTo
3406,Which object in this image is output device?,RelatedTo
1477,Which food in this image is also used to name a color?,IsA
1475,Which object in this image is related to parsnip?,RelatedTo
1478,What in this image is related to easter eggs?,RelatedTo
4228,"what object in this image is capable of being in liquid, ice, or steam form?",CapableOf
4225,Which object in this image is a beast of burden?,IsA
4220,Which object in this image can have a higher speed than horse?,Comparative
4221,Which object in this image belongs to a human being?,HasA
4222,Which object of this image has hair,PartOf
2362,What body part in this image has hair?,PartOf
4223,Which object in this image contains brain?,RelatedTo
24,Which object is used to make a rhythm,UsedFor
4038,Which object in this image is used for making a rhythm?,UsedFor
25,Which instrument in this image is the most related to rock,UsedFor
5587,Which object in this image is used for staying dry?,UsedFor
27,What the baseball bat looks like?,IsA
2107,Which object in this image is a long round tapered object?,IsA
21,What is the elephant in the image used for?,UsedFor
29,What do baseball gloves belong to,Category
5588,Which object in this image is good in the rain?,HasProperty
5589,Which object in this image is used for keeping rain off?,UsedFor
1069,Which object in this image usually has white keys?,HasA
1061,What in this image is most closely related to tabbouleh?,RelatedTo
1060,Which object in this image could be used to hold flowers?,HasProperty
2814,Which object in this image is used for hold flower?,HasProperty
1063,Which object in this image belongs to the category Edible plants?,Category
1062,Which object in this image desires the pure truth?,Desires
1065,Which object in this image is a living thing?,IsA
1067,What shown here can eat almost anything?,CapableOf
1066,Which object in this image is a playful aquatic mammal?,IsA
2288,Which thing in this image belongs to the category Phenomena?,Category
2289,Which thingin this image belongs to the category Health care?,Category
2280,Which object in this image is related to transportation?,RelatedTo
2281,Which object in this image belongs to the category Eyewear?,Category
3425,What item of eyewear is in this image?,Category
2282,What object in the image is considered a consumer good?,Category
2285,Which thing in this image belongs to the category Headgear by nationality?,Category
2286,Which thing in this image belongs to the category Medical doctors by specialty?,Category
2287,Which thing in this image belongs to the category Physician?,Category
4538,Which object in this image has the property of hard to play?,HasProperty
4828,What is the team made of ?,CapableOf
2056,Which object in this image moves slowly?,IsA
4534,Which object in this image is for Entertainment?,Category
4535,What in this image is for playing?,RelatedTo
4927,Which kind of vehicle is in this image?,IsA
4536,Which object in this image is a musical instrument?,IsA
4825,What object is cheaper than taxi?,Comparative
4823,which object in this image is less active than goat?,Comparative
4820,Which object in this image contains text and images?,HasA
4819,Which object in this image contains text and images?,HasA
4795,which object in this image is capable of streaming music?,CapableOf
4926,Which object in this image is a tennis equipment?,Category
4533,which object in this image is a marine animal?,IsA
183,Which instrument shown in this image is the most related to string,RelatedTo
186,what object in this image runs slower than a desktop?,Comparative
184,Which object is usually used for playing in a band,UsedFor
185,Which instrument in this image is usually used in polka music,ReceivesAction
188,Which object in this image is like a hand-held piano,IsA
868,What is the round thing on the table is used for?,UsedFor
3449,which object in this image is faster than man?,Comparative
3448,What could you sleep on ?,UsedFor
861,How many keys does the instrument in the image has?,HasA
860,Which thing in the image can make beautiful sounds?,UsedFor
863,"What is the name of the animal with a brittle, spiral shell",IsA
3446,Which object in this image has a nose?,HasA
3480,which object in this image uses nose for breathing,HasA
865,Whether the animal in the image runs slower or faster than a bicycle?,IsA
867,"If you need to select an object that is related to time, which one you will choose?",RelatedTo
586,What thing in this image is the most related to time,RelatedTo
2756,What in this image has a stalk?,RelatedTo
2025,Which object in this image is capable of innocently knock thing off table?,CapableOf
2020,which object in this image is the second best friend of human,IsA
2021,Which object in this image can be found in neighborhood?,AtLocation
2751,which kind of mammal can you find in this image,HasProperty
2028,Which object in this image is used for food storage?,Category
2029,Which object in this image is also a colour of the rainbow?,IsA
2759,Which object in this image is used for strumming?,UsedFor
5214,What stuff in the image is used to list food?,UsedFor
5159,Which object in this image is used for lift food?,UsedFor
5212,which object in this image can taste ice cream?,CapableOf
5213,which object in the image has a nose on their face?,HasA
5210,which object in this image is capable of loosing their temper?,CapableOf
5218,Which object can be classified into the category of Food and drink in Canada?,Category
4596,Which area is likely to be colder than this place?,Comparative
3058,Which object in this image is a personal transportation vehicle?,IsA
3057,Which object in this image is created by flour?,CreatedBy
3054,Which object in this image can be used to carry things?,UsedFor
3052,Where is the place in this image likely to be found?,AtLocation
8,What is inside of the fruit in the image?,HasA
1317,Which object in this image is related to plectrum?,RelatedTo
1315,Where does the object in the image can be found in?,AtLocation
1314,Which object in this image is used to pass on what author knows?,UsedFor
60,What thing in this image can be used for passing on what author knows,UsedFor
1313,Which object in this image is used for holding book?,UsedFor
5569,Which object in this image is used to hold books?,UsedFor
1312,Which object in this image can shed?,CapableOf
1311,which object in this image is more compact than a desktop computer?,Comparative
2220,Which object in this image is usually more compact than desktop?,Comparative
1319,Which musical instrument in this image can be found in rock band?,AtLocation
1318,Which object in this image is used for playing songs?,UsedFor
4956,Which object in this image is used for playing songs?,UsedFor
3304,What small mammal is in this image?,IsA
3305,What small mammal is in this image?,IsA
3948,Which object in the background is used for mass transportation?,UsedFor
1610,Which object in this image is used for mass transportaion?,UsedFor
4563,Which kind of mass transportaion is used in this image?,UsedFor
3949,Which object in this image can be used for sandwiches?,UsedFor
3941,which animal in this image is more independent than dog?,Comparative
3942,Which object in this image can be found in a can full of them?,AtLocation
3943,What kind of Ball games is played in this image?,Category
3944,What can vibrate in this image?,CapableOf
3946,Which object in this image is related to making a call?,RelatedTo
3947,What sport is kind of good exercise?,IsA
4057,Which object in this image is a majestic creature?,IsA
4054,Which object in this image belongs to Public services?,Category
4051,Which drink in this image is related to prosecco?,RelatedTo
4058,which kind of friendly animal can be seen in this picture,IsA
3610,Which object in this image can be typed upon?,RelatedTo
3611,Which object in this image can be typed upon?,RelatedTo
3615,which object in this image can die from infection?,CapableOf
3616,which object in this image is capable of reading letters?,CapableOf
3617,which object in this image can drink coffee?,CapableOf
3618,Which object in the image is related to ping pong ball?,RelatedTo
3619,Which object in this image is capable of store food for long time?,CapableOf
2561,Which object in this image might sometimes be found in a string quartet?,AtLocation
2563,Which objects in this image might be found at a supermarket?,AtLocation
2562,Which objects in this image are capable of sitting around a table?,CapableOf
2564,Which object in this image is related to roaming?,RelatedTo
5029,Which object in this image is a type of fermented milk?,IsA
5028,Which object in this image is often considered unhealthy?,HasProperty
1007,Whether this food is considered healthy or unhealthy?,HasProperty
614,Whether the food the man is eating healthy or not?,HasProperty
5021,Which object in the image is related to Normandy pippins?,RelatedTo
5023,Which round object in this image is a piece of fruit?,IsA
5024,Which round object in this image is a piece of fruit?,IsA
5025,What round object is in this image?,HasProperty
5026,What object in this image is found in a grocery store?,AtLocation
4440,which object is weaker than desktop?,Comparative
4442,What is the room used for?,UsedFor
4443,What is the room in this image used for?,UsedFor
4444,What can be found in this room?,AtLocation
4915,What can be found in this place?,AtLocation
4445,What thing does the place shown in this image have as a part?,HasA
4447,What can be found in the right top of this image around the table?,AtLocation
4448,What object is used for party?,UsedFor
964,Where is cake found at?,AtLocation
966,Whether the animal in the image is taller or shorter than elephant?,Comparative
524,Which animal in this image is taller than elephant,Comparative
961,What can you use in the image to spin on your finger?,UsedFor
963,Which part of the machine in the image can be used for typing?,UsedFor
968,Which object in this image can be used for cutting,UsedFor
79,Which object in this image is used for cutting ,UsedFor
1536,Which object in this image is more efficient than a grill?,Comparative
3090,Which object in this image is very big?,HasProperty
3097,Which object in this image is related to urn?,RelatedTo
1246, Which object in this image is a furniture that can load-bearing person?,IsA
649,Which object in the image is related to archery?,UsedFor
5198,Which object in this image is related to birthday party?,RelatedTo
641,What do you need to play with this instrument?,ReceivesAction
5195,What kind of Game equipment is used in this image?,Category
5197,Which object in this image is used for celebrate someone's birthday?,UsedFor
3239,Which object in this image can produce a musical sound?,UsedFor
1960,Which sports equipment can you see in this image?,Category
640,Tell me a thing shown in this image that can be used to play beautiful music,CapableOf
540,Which object in this image is able to play beautiful music,CapableOf
1961,What object in the image is related to computer?,RelatedTo
1963,Which object in this image is capable of causing floods?,CapableOf
1679,Which object in this image can be used for making bluegrass music?,UsedFor
1675,which object in this image can we always buy in the supermarket,AtLocation
1676,Which animal in this image is a human best friend?,IsA
1677,Which object in this image is used for keeping warm at night?,UsedFor
1671,What are the people driving?,Category
3427,Which object in this image is used for transport?,Category
1672,What thing shown here has yellow flesh?,HasA
1673,Which object in this image belongs to the class Bromeliaceae cultivar?,Category
1418,Which object in this image has a result in communication revolution?,HasA
1419,Which object in this image is a kind of weight?,RelatedTo
1410,Which vegetable in this image is very nutritious?,HasProperty
1411,What object in the image is similar to a notebook computer?,RelatedTo
1412,Which object can be switched off?,CapableOf
1413,What in the image is a specific instance of a table?,IsA
1414,What thing does the place shown in this image have as a part?,HasA
1416,Which object in this image belongs to the category Classes of computers?,Category
4208,What shown here has a fur?,HasA
4209,where can we find such a place shown in this image,AtLocation
4202,Which object in this image can be used to play tennis?,UsedFor
4242,What object in this image can be used to play tennis?,UsedFor
3250,Which object in this image is used to play tennis?,UsedFor
4203,which electronic object in this image is smaller than a desktop computer?,Comparative
4206,Which thing is rectangle?,HasProperty
4507,What in this image has the property of rectangular?,HasProperty
4205,What animal is sleeping?,AtLocation
5568,Which object in this image is a place to put books?,IsA
5565,Which object in this image is used for storing novels?,UsedFor
5566,Which object in this image is used for book storage?,UsedFor
5567,Which object in this image can be read for pleasure?,UsedFor
5560,Which object in this image has two wheels and pedals?,HasA
4072,Which object in this image has a two wheels and pedals?,HasA
5562,Which object in this image is known as bike?,HasProperty
5563,Which object in this image is a human power form of transportation?,IsA
5112,Which object in this image is a human powered form of transportation?,IsA
308,Which object in this image is related to shooting?,RelatedTo
309,What stuff can be used to hold water?,UsedFor
44,Which thing in the image can be used to hold water?,UsedFor
301,What does an athlete has,HasA
302,Is a fig bigger than a watermelon?,Category
4835,Which object in this image belongs to the category Fruit?,Category
303,What the toy in the image is attached on?,RelatedTo
304,Tell me the object in this image which is safer than truck,Comparative
306,Which one is cooler? this one or the car,Comparative
307,what is weapon in the image?,RelatedTo
4893,Which object in this image is used for rest upon?,UsedFor
4892,which object in this image comes from the subclass of edible fruit,IsA
4897,Which object in this image is used for picking up food?,UsedFor
2977,Which object in this image is used for picking up food?,UsedFor
4896,Which object in this image is often found together with knife and spoon?,IsA
4895,Which object in this image is used for lifting food from plate to mouth?,UsedFor
4894,foods belongs to the category of Sociology of culture,Category
3429,Which vehicle in this image is used for driving?,UsedFor
3428,Which object in this image has wheels?,Category
3423,Which object in this image is round?,IsA
3422,Which object in the image is able to stand on the ground?,CapableOf
3421,What type of stationary are you likely to find in an office?,AtLocation
3420,Which object in the image is more useful than a typewriter?,HasProperty
3424,Which object in this image is related to human?,RelatedTo
2002,What is one other thing that can sometimes be found in this place?,AtLocation
2000,Which kind of land vehicles is shown in this image ?,Category
4584,Which object in this image belongs to the category Land vehicles?,Category
2001,Which object in this image belongs to the category Boxing?,Category
4589,What is the object in the hand used for?,UsedFor
2007,Which object in this image is a type of headgear?,IsA
4858,What prominent object in this image is an item of kitchenware?,Category
4585,Which object in this image can be related to interrupt requests?,RelatedTo
4587,Which object in this image can be played by a violinist?,RelatedTo
4586,What can you use to have fun ?,UsedFor
4581,Which object in the image can be classified as Garden plants?,Category
4852,Which object in this image is used for laze?,UsedFor
1906,Which object in this image is an enclosed container for liquids?,IsA
1086,Which object in this image is for ball games?,Category
1085,what is it in this image belongs to the category Subcultures?,Category
1084,what is it belongs to the category Hominina?,Category
1083,What  does the place shown in this image have as a part?,HasA
1082,What can be found in this image?,AtLocation
1081,What property does the place in this image usually have?,HasProperty
1080,Which object in this image has a paw,HasA
1089,Which objects in this image have wheels?,HasA
1904,Which object in this image is used for slicing?,UsedFor
449,What the thing in the image is used for?,UsedFor
1339,Which object in this image has a twelve number,HasA
589,How many numbers does the clock on the wall has?,HasA
1335,Which object in this image is a caffeinated beverage?,Category
1334,Which object in this image is a leaf vegetable?,Category
1337,Which object in this image is related to packed lunch?,RelatedTo
447,What kinds of vehicle is presented in this image?,RelatedTo
1333,Which animal in this image can be found in beach?,AtLocation
39,what object in this image sometimes has fish in it?,RelatedTo
38,Where can a surfboard found at,AtLocation
33,Which object in this image is better than chopstick,Comparative
32,What the room in the image is used for?,CapableOf
5464,What is this place used for?,CapableOf
31,Which object is used for cooking?,UsedFor
37,what object in this image is usually sat on?,RelatedTo
422,what object in this image can be sat on?,RelatedTo
36,Which object in this image has tines,UsedFor
35,Which object in this image is used for holding food,UsedFor
34,What is the name of the kitchen utensil in this image?,IsA
1903,Where was this image taken ?,UsedFor
1900,Which object in this image can be used to make annoying noises?,UsedFor
4078,Which object in this image can perch?,CapableOf
4074,which object in this image is related to 'bike',RelatedTo
4077,What shown in this image can attempt to fly?,CapableOf
3460,Which sport is better than the action shown in this image,Comparative
4071,What object in this image makes the situation dangerous for the woman?,HasProperty
4070,What is the woman riding in the street corner?,AtLocation
4073,Which object in this image is used for go place?,UsedFor
5797,Which object in this image can appear intelligent?,CapableOf
841,What insect with beautiful wings is seen here?,IsA
756,Which animal in the image has beautiful wings?,IsA
1041,Which object in this image is a insect that have a beautiful wing?,IsA
3964,What is the green stuff on the ground?,AtLocation
3965,Which object in this image has juice sacs?,PartOf
3963,Which object in this image has a two wheel,HasA
5791,Which object in this image is made of brass?,HasProperty
3968,which object in this image is less high than bicycle?,Comparative
3969,What in this image has a crown as one of its parts or areas?,RelatedTo
1101,What instrument in this image is related to drumbeater?,RelatedTo
3638,What object can be used for transport?,Category
3639,What is the order of the animals in this image?,Category
3637,What can be found on the beach?,AtLocation
3634,What object in this image is related to eyes?,Category
3635,Which object in this image is related to lawn?,RelatedTo
3632,What is the musical instrument in this image?,IsA
3633,What object in this image is a type of headgear?,Category
3630,What object in this image is a brass instrument?,IsA
3123,What in this image is a brass instrument?,IsA
3631,What object is used to make jazz music in this image?,UsedFor
3469,Which object in this image sits in window?,CapableOf
4468,Which object in this image could be used to write book?,UsedFor
4469,Which object in this image can be used to sign a card?,UsedFor
4467,Which object in this image is used for writing?,UsedFor
4464,which object in this image is smaller than car?,Comparative
4465,which object in this image is less stricter than automobile?,Comparative
4462,Which object in this image can we use for holding the mush,UsedFor
4460,Which object in this image desires live in a loving enviroment?,Desires
4461,What property does the place in this image have?,HasProperty
948,Which object in the image is related to exercise?,RelatedTo
949,What is a bookshelf used for,UsedFor
946,Where the animals in the image originally from? ,ReceivesAction
944,Which things in this picture are green before they are red?,HasProperty
69,Which object in this image is green before they are red,HasProperty
943,What is the colour of the toilet seat?,HasProperty
940,Which animal in the image is normally bigger?,Comparative
941,What is the marine mammal in the image?,IsA
2410,Which object in this image is soft fruit?,RelatedTo
1652,Which object in this image belongs to the category of Cnidaria?,Category
1653,What is the class of the animal in this image?,Category
1654,What is the class of the animal in this image?,Category
5502,What is the class of the largest animal in this image?,Category
4170,What is the class of the animal in this image?,Category
1651,Which object in this image is a animal that has stinging tentacles?,IsA
584,What is toothbrush used for?,UsedFor
585,What thing in this image is the most related to light?,RelatedTo
4035,Which object in this image is related to light?,RelatedTo
4034,Which object in this image is related to light?,RelatedTo
582,Which country invented the stuff that in this image?,Category
583,What the stuff on the wall is used for?,UsedFor
2838,What does the small object in the middle of the picture have as a part?,PartOf
2837,What is the purpose of the event depicted in the image?,UsedFor
2836,Where is the event depicted in this image likely to take place?,AtLocation
2835,What emotions do you associate with the event depicted in this image?,HasProperty
2833,What kind of property does the action in this image have?,HasProperty
2873,How is wedding feeling?,HasProperty
2832,What animal are you likely to find in this place?,AtLocation
2830,Where can be this patio found?,AtLocation
3390,Which object in this image is capable of sleeping most of the day?,CapableOf
1435,Which object in this image is used for eating soup?,UsedFor
1637,Which object in this image can be used to eat soup?,UsedFor
5401,What fruit in the image belongs to tropics?,Category
3399,Which object in this image is used for playing rugby?,UsedFor
3398,Which object in this image has a bladder?,RelatedTo
1439,What shown here is related to botany?,RelatedTo
5230,What is the surface in this image used for?,UsedFor
5114,What in the image facilitates traveling?,UsedFor
5231,What object in this image is brown and green?,HasProperty
2249,Which objects in this image are brown and green?,HasProperty
5232,Which object in this image might want comfortable clothes?,Desires
4260,Which object in this image desires experience rich diversity of life?,Desires
4263,Which object in this image is related to caravan?,RelatedTo
4267,What is the purpose of the place in this image?,UsedFor
4268,Which object in this image can be found in livingroom?,AtLocation
4269,which object in this image can we lie on,UsedFor
503,Which thing in the image can I lying on it?,UsedFor
5235,What covers the ground?,RelatedTo
3702,Which object in this image is a birthday dessert?,RelatedTo
1885,Which object in this image can rise before baking?,CapableOf
5549,where is this place?,AtLocation
3263,which object in this image consist of a display and other things,PartOf
5542,Which object in this image is a Measuring instruments?,Category
5540,Which object in this image is a mechanical device?,IsA
5541,Which object in this image is used to measure the passage of time?,UsedFor
5547,Which object in this image is a member of an African equine species?,IsA
5424,Which object in this image is a african equine specie?,IsA
5903,Which object in this image is an African equine specie?,IsA
5545,Which object in this image has knubby things on its head?,HasA
1880,Which object in this image is used for creating music?,UsedFor
3279,Which object in this image is used for creating music?,UsedFor
5890,which animal in this image can you find in a zoo?,AtLocation
5891,which object in this image can captain a team of people?,CapableOf
5892,which object in this image must breath to survive?,CapableOf
5893,which object in this image is capable of raking leaves?,CapableOf
5895,Which object in this image is capable of hearing high pitched noises?,CapableOf
5899,which object in this image is little smaller than horse?,Comparative
4669,Which object in this image is a fish?,Category
2127,Which object in this image can be found in the corner?,AtLocation
2126,Which object in this image is alive?,Category
4916,Which object in this image can be found in table,AtLocation
4667,What in this image is related to draft?,RelatedTo
4660,What in this image is related to glede?,RelatedTo
4661,What  in this image has the property of orange?,HasProperty
4663,What in this image is related to steal?,RelatedTo
322,Why are they wearing helmet?,RelatedTo
323,Whether the animal in the image is a fish?,IsA
4502,Which animal in this image lives under water and is not a fish?,IsA
321,What cow food is seen here?,RelatedTo
326,What kind of sport it is in the image? ,Category
327,Whether the game is a summer or winter Olympic?,Category
324,What object in this image is protective equipment?,IsA
329,What object in this image is an animal?,Category
1595,What can be found in this image that can be classed as part of subculture?,Category
1597,What is the place in this image used for?,UsedFor
3073,Which object in this image is related to thirst?,RelatedTo
1590,Which object in this image belongs to the category of Predators?,Category
1593,Which object in this image is capable of positioning itself on rock?,CapableOf
2248,What can you do in this place?,UsedFor
4018,What is this place used for?,UsedFor
2327,what can we do in the place shown in this image,UsedFor
2244,which object in this image can trot?,CapableOf
2245,which object in this image can trot?,CapableOf
2246,which object in this image is related to 'four legs'?,RelatedTo
2247,Which object in this image has a long ear,HasA
2240,Which object in this image could has a hoof?,HasA
2241,Which object in this image is related to horse?,RelatedTo
2242,Which object in this image often follows horses?,CapableOf
2243,Which object in this image is related to rein?,RelatedTo
3401,Which object in this image belongs to the category Sports originating in England?,Category
3400,Which object in this image belongs to the category Sports originating in England?,Category
3405,Which object in this image might be used for transcribing something?,RelatedTo
3407,What is the person playing?,UsedFor
3409,Which object in this image is used for playing the blues?,UsedFor
3408,Which object in this image is used for making music?,UsedFor
4876,Which object in this image is a subclass of genus homo?,IsA
4871,Which object in this image can be found in on surface of the moon?,AtLocation
4870,Which object in this image is soft and fuzzy?,HasProperty
4873,Which  Sports equipment is shown in this image ?,Category
1804,Which object in this image belongs to the category Sports equipment?,Category
4872,Which object in this image might leave a pitch mark?,RelatedTo
2061,Which object in this image is used to store Food and drink?,Category
2790,Which object in this image can be found in herpetarium?,AtLocation
2791,Which little animal on the left of the image can be used to make soup?,RelatedTo
5692,which object in this image has a belly button?,HasA
3257,Which animal in this image is quite useful?,CapableOf
5696,Which object in this image could be used for baking a cake?,UsedFor
4560,What can be used to bake cake in this image?,UsedFor
1359,What does this dog have?,HasA
469,What thing in this photo is capable of sailing through the sea,CapableOf
1443,which object in this image can we find to be used for sailing in through the sea,CapableOf
468,Which object in this image is able to swim on water,CapableOf
465,What object in this image is a reptile?,IsA
1352,Which object in this image is a big furry mammal?,IsA
466,What is the neck wrap on this man?,RelatedTo
1355,What is one food shown in this image?,IsA
3555,which object in this image can we eat,IsA
462,What this the red fruit in the image?,RelatedTo
4885,Which object in this image is related to lime?,RelatedTo
2416,Which object in this image is used for staying dry in the rain?,UsedFor
3184,Which object in this image are dangerous?,HasProperty
3185,Which object in this image are dangerous?,HasProperty
3186,Which object in this image are dangerous?,HasProperty
3187,Which object in this image are dangerous?,HasProperty
3183,Which object in this image are dangerous?,HasProperty
3188,Which object in this image are dangerous?,HasProperty
3180,Which object in this image belongs to the category Weapon?,Category
3182,Which object in this image can be used to strike nail?,CapableOf
4013,What can you find in this place for serving food?,AtLocation
4012,What can be found in this place that can be used for cleaning?,AtLocation
4017,Which object in this image is related to Aviation?,Category
4016,Which object in this image is used for washing up?,UsedFor
4015,Which object in this image is used for rinsing things?,UsedFor
4014,"If you are hungry, what are you likely to find in this place?",AtLocation
3988,what can we do in this place shown in this image,UsedFor
3989,Which part in this image is related to gun?,RelatedTo
3984,Which object in this image is capable of resting all day?,CapableOf
3985,What thing shown in this image is capable of drinking the juice of a pineapple?,CapableOf
3987,What thing has water in it in this image?,HasA
3107,What thing does the place shown in this image have as a part?,HasA
3981,Which sports game is shown in this image?,IsA
3983,Which object in this image can be used for shredding?,RelatedTo
5796,What can you find in the place shown in this image,HasA
1446,which object in this image can usually be found in a toy store?,AtLocation
1445,Where is the place in hotel?,AtLocation
289,What object in this image is used for controlling traffic?,UsedFor
288,Which animal in the image can jump over hurdles?,CapableOf
281,Which object will you choose to cut a potato,CapableOf
285,Which object in this image is a double-reeded instrument,IsA
287,Which word is normaly used to describe the animal in the image?,HasProperty
4136,Which object in this image is very big?,HasProperty
1442,what kind can we see in this image,Category
1441,Which object in this image is sweet and mushy in pie?,HasProperty
5793,Which object in this image has a reed?,RelatedTo
2475,Which object in this image has a tail?,PartOf
2473,Which object in this image belongs to the category Sport?,Category
2472,Which sport in this image is related to beach volleyball?,RelatedTo
2470,Which object in this image has a sail?,HasA
2479,Which animal in this image can please human?,CapableOf
2907,which object is related to the category of cattle,Category
2906,What can likely be found in this place?,AtLocation
1986,Which object in this image belongs to the category Wine accessory?,Category
1987,Which object in this image can be used for coding?,UsedFor
3216,Which object in this image has a fur?,HasA
4817,Which object in this image has fur?,HasA
2161,which object in this image has fur?,HasA
3217,Which object in this image is more efficient than crosscut saw?,Comparative
3211,Which object in this image is used to hold fruit?,HasProperty
1638,Which object in this image is used for drinking out of?,UsedFor
1639,Which sour yellow fruit is shown in this image?,IsA
2629,Which object in this image is a sour yellow fruit?,IsA
2904,Which object in this image is a game equipment?,Category
3218,Which object in this image belongs to the category Cutting tools?,Category
1988,Which object in this image is used for typing?,UsedFor
2909,Which object in this image is used for play music?,UsedFor
2815,What is one thing that might be found in this place?,AtLocation
2908,Which object in this image belongs to the category String instruments?,Category
2811,What property does the landscape in this image have?,HasProperty
2810,Which object in this image is related to lamb?,RelatedTo
2813,Which object in this image belongs to the category Electricity?,Category
2812,What is the technology stuff?,Category
560,Which object in this image can have a virus,HasA
561,Which object in this image can save files on disk,CapableOf
562,Which object in this image is used for studying,UsedFor
2819,What in this image reminds you of the Roquefort?,RelatedTo
2818,Which object in this image is used for keeping animals on the property?,UsedFor
567,what object in this image is a citrus fruit?,Category
5429,which object in the right of this image has several glass windows,HasA
1525,Which object in this image has signs on the window?,HasA
5428,Which object in this image can be found in a driveway?,AtLocation
3378,which object in this image belongs to the category 'mammal'?,Category
4500,Which object in this image belongs to the category mammal?,Category
5425,Which object in this image is capable of wearing a collar?,CapableOf
5426,Which object in this image is capable of dig hole in yard?,CapableOf
5423,What substance in this image might an antifluoridationst be concerned with?,RelatedTo
4248,Which object in this image is high in calories?,HasProperty
4249,Which object in this image is used for baking things?,UsedFor
4246,Which object originated in Italy?,Category
4243,Which object in this image has a sleeve?,PartOf
4240,What in this image can often play sport for entertainment?,CapableOf
4241,What object in this image is related to tennis?,RelatedTo
5521,Which animal in this image is a common pet?,HasProperty
5522,Which object in this image has a caffeine in it,HasA
5523,Which object in this image belongs to the category Stimulants?,Category
5525,What is the another name of the electrical appliance on the left.,RelatedTo
5527,What is the place used for in this image ?,UsedFor
5528,What object in this image could be used to cook soup?,UsedFor
5529,Which place is more crowded than the place shown in this image,Comparative
48,what object in this image is used for protecting your head?,UsedFor
49,Why people need these stuffs?,RelatedTo
46,Which object in this image is the most related to sweet taste,RelatedTo
